iter	Logloss
0	0.6733471669
1	0.6638998256
2	0.6489386247
3	0.6308802674
4	0.6222821859
5	0.6052640119
6	0.5992033694
7	0.5862799955
8	0.5706524682
9	0.5556228765
10	0.5411646735
11	0.5272525024
12	0.5191569881
13	0.5086105292
14	0.507215285
15	0.4985281654
16	0.4910696736
17	0.4790182141
18	0.4697677949
19	0.4641396061
20	0.455205925
21	0.4444529854
22	0.4340829923
23	0.4291368839
24	0.4232219489
25	0.4135990937
26	0.4043103949
27	0.3953415654
28	0.3866789963
29	0.3783097244
30	0.370221401
31	0.3624022623
32	0.3548411001
33	0.3475272351
34	0.34331418
35	0.3363732222
36	0.3296541534
37	0.3231479863
38	0.3181098647
39	0.3119652501
40	0.3090704535
41	0.3032047174
42	0.2975178777
43	0.2942438448
44	0.2888272203
45	0.2835720075
46	0.2784720004
47	0.2735212724
48	0.2687141627
49	0.2640452631
50	0.2595094055
51	0.25510165
52	0.2508172739
53	0.2466517607
54	0.2426007904
55	0.2386602296
56	0.2348261229
57	0.2310946838
58	0.2274622867
59	0.2239254595
60	0.2204808758
61	0.2171253484
62	0.2138558224
63	0.2106693689
64	0.2075631796
65	0.2045345604
66	0.2015809268
67	0.1986997983
68	0.1958887938
69	0.1931456273
70	0.190468103
71	0.1878541117
72	0.1853016265
73	0.1828086996
74	0.180373458
75	0.1779941009
76	0.1756688962
77	0.1733961775
78	0.1711743409
79	0.169001843
80	0.1668771975
81	0.1647989733
82	0.1627657917
83	0.1607763246
84	0.1588292919
85	0.1569234599
86	0.1550576389
87	0.1532306818
88	0.1514414821
89	0.149688972
90	0.1479721215
91	0.1462899359
92	0.1446414553
93	0.1430257525
94	0.1414419321
95	0.139889129
96	0.1383665072
97	0.1368732588
98	0.1354086028
99	0.1339717841
