iter	Passed	Remaining
0	57	5703
1	58	2865
2	58	1894
3	59	1423
4	59	1132
5	60	945
6	60	803
7	60	697
8	61	621
9	61	553
10	62	503
11	62	456
12	62	417
13	63	388
14	63	358
15	64	336
16	64	313
17	64	292
18	64	274
19	64	257
20	64	242
21	64	228
22	64	216
23	64	204
24	64	194
25	64	184
26	64	175
27	65	168
28	65	160
29	65	153
30	65	146
31	65	139
32	65	133
33	65	127
34	66	123
35	66	118
36	66	113
37	66	109
38	66	104
39	66	100
40	67	97
41	67	93
42	67	89
43	67	86
44	67	83
45	68	79
46	68	76
47	68	73
48	68	70
49	68	68
50	68	65
51	68	63
52	69	61
53	69	58
54	69	56
55	69	54
56	69	52
57	69	50
58	70	48
59	70	46
60	70	44
61	70	43
62	70	41
63	70	39
64	70	37
65	70	36
66	70	34
67	70	33
68	70	31
69	70	30
70	70	28
71	70	27
72	70	26
73	70	24
74	70	23
75	70	22
76	70	21
77	70	20
78	71	18
79	71	17
80	71	16
81	71	15
82	71	14
83	71	13
84	71	12
85	71	11
86	71	10
87	71	9
88	71	8
89	71	7
90	71	7
91	71	6
92	71	5
93	71	4
94	71	3
95	71	2
96	71	2
97	71	1
98	71	0
99	71	0
